system,seed,states_scored,typed_decision_failures,predicate_success_states,mean_chosen_realized_count_cost,mean_oracle_best_realized_count_cost,mean_gap_cost,transition_calls,linear_macs
issue-77-n1-011-a11,continuous-fixed-h1,20260908,,9,45.768,n/a,45.768,0.000,n/a
issue-77-n1-012-a08,continuous-fixed-h1,20260908,,9,58.725,n/a,54.447,4.279,n/a
issue-77-n1-013-a04,continuous-fixed-h1,20260908,,9,66.053,n/a,57.876,8.177,n/a
issue-77-n1-014-a01,continuous-fixed-h1,20260908,,9,42.392,n/a,41.708,0.683,n/a
issue-77-n1-014-a10,continuous-fixed-h1,20260908,,9,42.392,n/a,41.708,0.683,n/a
issue-77-n1-015-a06,continuous-fixed-h1,20260908,,9,36.572,n/a,27.495,9.078,n/a
issue-77-n1-016-a03,continuous-fixed-h1,20260908,,9,29.149,n/a,27.810,1.340,n/a
issue-77-n1-016-a12,continuous-fixed-h1,20260908,,9,29.149,n/a,27.810,1.340,n/a
issue-77-n1-001-a00,continuous-fixed-h1,20260909,,7,38.563,n/a,38.563,0.000,n/a
issue-77-n1-001-a07,continuous-fixed-h1,20260909,,7,38.563,n/a,38.563,0.000,n/a
issue-77-n1-003-a00,continuous-fixed-h1,20260909,,7,42.185,n/a,41.677,0.508,n/a
issue-77-n1-003-a10,continuous-fixed-h1,20260909,,7,42.185,n/a,41.677,0.508,n/a
issue-77-n1-004-a07,continuous-fixed-h1,20260909,,7,89.373,n/a,77.595,11.779,n/a
issue-77-n1-005-a07,continuous-fixed-h1,20260909,,7,81.688,n/a,67.431,14.258,n/a
issue-77-n1-006-a05,continuous-fixed-h1,20260909,,7,71.073,n/a,63.951,7.122,n/a
issue-77-n1-006-a11,continuous-fixed-h1,20260909,,7,71.073,n/a,63.951,7.122,n/a
issue-77-n1-007-a05,continuous-fixed-h1,20260909,,7,75.705,n/a,61.919,13.786,n/a
issue-77-n1-007-a12,continuous-fixed-h1,20260909,,7,75.705,n/a,61.919,13.786,n/a
issue-77-n1-008-a05,continuous-fixed-h1,20260909,,7,59.132,n/a,50.814,8.318,n/a
issue-77-n1-008-a12,continuous-fixed-h1,20260909,,7,59.132,n/a,50.814,8.318,n/a
issue-77-n1-009-a00,continuous-fixed-h1,20260909,,7,52.657,n/a,47.712,4.945,n/a
issue-77-n1-009-a09,continuous-fixed-h1,20260909,,7,52.657,n/a,47.712,4.945,n/a
issue-77-n1-010-a06,continuous-fixed-h1,20260909,,7,68.027,n/a,33.362,34.665,n/a
issue-77-n1-011-a02,continuous-fixed-h1,20260909,,7,52.355,n/a,45.768,6.587,n/a
issue-77-n1-011-a11,continuous-fixed-h1,20260909,,7,52.355,n/a,45.768,6.587,n/a
issue-77-n1-012-a08,continuous-fixed-h1,20260909,,7,65.501,n/a,54.447,11.055,n/a
issue-77-n1-013-a04,continuous-fixed-h1,20260909,,7,72.518,n/a,57.876,14.642,n/a
issue-77-n1-014-a01,continuous-fixed-h1,20260909,,7,47.836,n/a,41.708,6.127,n/a
issue-77-n1-014-a10,continuous-fixed-h1,20260909,,7,47.836,n/a,41.708,6.127,n/a
issue-77-n1-015-a06,continuous-fixed-h1,20260909,,7,56.589,n/a,27.495,29.094,n/a
issue-77-n1-016-a03,continuous-fixed-h1,20260909,,7,36.845,n/a,27.810,9.036,n/a
issue-77-n1-016-a12,continuous-fixed-h1,20260909,,7,36.845,n/a,27.810,9.036,n/a
issue-77-n1-001-a00,continuous-fixed-h1,20260910,,7,38.563,n/a,38.563,0.000,n/a
issue-77-n1-001-a07,continuous-fixed-h1,20260910,,7,38.563,n/a,38.563,0.000,n/a
issue-77-n1-003-a00,continuous-fixed-h1,20260910,,7,42.185,n/a,41.677,0.508,n/a
issue-77-n1-003-a10,continuous-fixed-h1,20260910,,7,42.185,n/a,41.677,0.508,n/a
issue-77-n1-004-a07,continuous-fixed-h1,20260910,,7,89.373,n/a,77.595,11.779,n/a
issue-77-n1-005-a07,continuous-fixed-h1,20260910,,7,81.688,n/a,67.431,14.258,n/a
issue-77-n1-006-a05,continuous-fixed-h1,20260910,,7,71.073,n/a,63.951,7.122,n/a
issue-77-n1-006-a11,continuous-fixed-h1,20260910,,7,71.073,n/a,63.951,7.122,n/a
issue-77-n1-007-a05,continuous-fixed-h1,20260910,,7,75.705,n/a,61.919,13.786,n/a
issue-77-n1-007-a12,continuous-fixed-h1,20260910,,7,75.705,n/a,61.919,13.786,n/a
issue-77-n1-008-a05,continuous-fixed-h1,20260910,,7,59.132,n/a,50.814,8.318,n/a
issue-77-n1-008-a12,continuous-fixed-h1,20260910,,7,59.132,n/a,50.814,8.318,n/a
issue-77-n1-009-a00,continuous-fixed-h1,20260910,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-009-a09,continuous-fixed-h1,20260910,,8,153.479,n/a,47.712,105.767,n/a
issue-77-n1-010-a06,continuous-fixed-h1,20260910,,7,68.027,n/a,33.362,34.665,n/a
issue-77-n1-011-a02,continuous-fixed-h1,20260910,,7,52.355,n/a,45.768,6.587,n/a
issue-77-n1-011-a11,continuous-fixed-h1,20260910,,7,52.355,n/a,45.768,6.587,n/a
issue-77-n1-012-a08,continuous-fixed-h1,20260910,,8,72.187,n/a,54.447,17.740,n/a
issue-77-n1-013-a04,continuous-fixed-h1,20260910,,8,72.597,n/a,57.876,14.721,n/a
issue-77-n1-014-a01,continuous-fixed-h1,20260910,,7,47.836,n/a,41.708,6.127,n/a
issue-77-n1-014-a10,continuous-fixed-h1,20260910,,7,47.836,n/a,41.708,6.127,n/a
issue-77-n1-015-a06,continuous-fixed-h1,20260910,,7,56.589,n/a,27.495,29.094,n/a
issue-77-n1-016-a03,continuous-fixed-h1,20260910,,7,36.845,n/a,27.810,9.036,n/a
issue-77-n1-016-a12,continuous-fixed-h1,20260910,,7,36.845,n/a,27.810,9.036,n/a
issue-77-n1-001-a00,continuous-fixed-h5,20260908,,9,53.041,n/a,38.563,14.478,n/a
issue-77-n1-001-a07,continuous-fixed-h5,20260908,,9,53.041,n/a,38.563,14.478,n/a
issue-77-n1-003-a00,continuous-fixed-h5,20260908,,9,42.063,n/a,41.677,0.386,n/a
issue-77-n1-003-a10,continuous-fixed-h5,20260908,,9,42.063,n/a,41.677,0.386,n/a
issue-77-n1-004-a07,continuous-fixed-h5,20260908,,11,89.135,n/a,77.595,11.541,n/a
issue-77-n1-005-a07,continuous-fixed-h5,20260908,,8,67.431,n/a,67.431,0.000,n/a
issue-77-n1-006-a05,continuous-fixed-h5,20260908,,10,71.176,n/a,63.951,7.225,n/a
issue-77-n1-006-a11,continuous-fixed-h5,20260908,,10,71.176,n/a,63.951,7.225,n/a
issue-77-n1-007-a05,continuous-fixed-h5,20260908,,10,74.027,n/a,61.919,12.108,n/a
issue-77-n1-007-a12,continuous-fixed-h5,20260908,,10,74.027,n/a,61.919,12.108,n/a
issue-77-n1-008-a05,continuous-fixed-h5,20260908,,9,55.749,n/a,50.814,4.935,n/a
issue-77-n1-008-a12,continuous-fixed-h5,20260908,,9,55.749,n/a,50.814,4.935,n/a
issue-77-n1-009-a00,continuous-fixed-h5,20260908,,9,47.712,n/a,47.712,0.000,n/a
issue-77-n1-009-a09,continuous-fixed-h5,20260908,,9,47.712,n/a,47.712,0.000,n/a
issue-77-n1-010-a06,continuous-fixed-h5,20260908,,9,46.951,n/a,33.362,13.588,n/a
issue-77-n1-011-a02,continuous-fixed-h5,20260908,,9,45.768,n/a,45.768,0.000,n/a
issue-77-n1-011-a11,continuous-fixed-h5,20260908,,9,45.768,n/a,45.768,0.000,n/a
issue-77-n1-012-a08,continuous-fixed-h5,20260908,,9,58.725,n/a,54.447,4.279,n/a
issue-77-n1-013-a04,continuous-fixed-h5,20260908,,9,66.053,n/a,57.876,8.177,n/a
issue-77-n1-014-a01,continuous-fixed-h5,20260908,,9,42.392,n/a,41.708,0.683,n/a
issue-77-n1-014-a10,continuous-fixed-h5,20260908,,9,42.392,n/a,41.708,0.683,n/a
issue-77-n1-015-a06,continuous-fixed-h5,20260908,,9,36.572,n/a,27.495,9.078,n/a
issue-77-n1-016-a03,continuous-fixed-h5,20260908,,9,29.149,n/a,27.810,1.340,n/a
issue-77-n1-016-a12,continuous-fixed-h5,20260908,,9,29.149,n/a,27.810,1.340,n/a
issue-77-n1-001-a00,continuous-fixed-h5,20260909,,7,38.563,n/a,38.563,0.000,n/a
issue-77-n1-001-a07,continuous-fixed-h5,20260909,,7,38.563,n/a,38.563,0.000,n/a
issue-77-n1-003-a00,continuous-fixed-h5,20260909,,7,42.185,n/a,41.677,0.508,n/a
issue-77-n1-003-a10,continuous-fixed-h5,20260909,,7,42.185,n/a,41.677,0.508,n/a
issue-77-n1-004-a07,continuous-fixed-h5,20260909,,7,89.373,n/a,77.595,11.779,n/a
issue-77-n1-005-a07,continuous-fixed-h5,20260909,,7,81.688,n/a,67.431,14.258,n/a
issue-77-n1-006-a05,continuous-fixed-h5,20260909,,7,71.073,n/a,63.951,7.122,n/a
issue-77-n1-006-a11,continuous-fixed-h5,20260909,,7,71.073,n/a,63.951,7.122,n/a
issue-77-n1-007-a05,continuous-fixed-h5,20260909,,7,75.705,n/a,61.919,13.786,n/a
