oracle_per_state,family,candidates,executed,typed_failures,successes,successful_ordinals,ceiling_indicator
issue-77-n1-001-a00,type010103,12,8,4,1,6,1
selection,continuous-fixed-h1,20260909,issue-77-n1-006-a05,True,7,issue-77-n1-006-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-006-a05,True,7,issue-77-n1-006-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-006-a05,True,10,issue-77-n1-006-a10,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-006-a05,True,7,issue-77-n1-006-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-006-a05,True,7,issue-77-n1-006-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-006-a05,True,8,issue-77-n1-006-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-006-a05,True,8,issue-77-n1-006-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-006-a05,True,8,issue-77-n1-006-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-006-a11,True,12,issue-77-n1-006-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-006-a11,True,12,issue-77-n1-006-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-006-a11,True,8,issue-77-n1-006-a08,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-006-a11,True,9,issue-77-n1-006-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-006-a11,True,7,issue-77-n1-006-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-006-a11,True,7,issue-77-n1-006-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-006-a11,True,10,issue-77-n1-006-a10,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-006-a11,True,7,issue-77-n1-006-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-006-a11,True,7,issue-77-n1-006-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-006-a11,True,8,issue-77-n1-006-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-006-a11,True,8,issue-77-n1-006-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-006-a11,True,8,issue-77-n1-006-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-007-a05,False,12,issue-77-n1-007-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-007-a05,False,12,issue-77-n1-007-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-007-a05,False,12,issue-77-n1-007-a12,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-007-a05,False,9,issue-77-n1-007-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-007-a05,False,7,issue-77-n1-007-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-007-a05,False,7,issue-77-n1-007-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-007-a05,False,10,issue-77-n1-007-a10,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-007-a05,False,7,issue-77-n1-007-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-007-a05,False,7,issue-77-n1-007-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-007-a05,False,8,issue-77-n1-007-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-007-a05,False,8,issue-77-n1-007-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-007-a05,False,8,issue-77-n1-007-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-007-a12,False,12,issue-77-n1-007-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-007-a12,False,12,issue-77-n1-007-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-007-a12,False,12,issue-77-n1-007-a12,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-007-a12,False,9,issue-77-n1-007-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-007-a12,False,7,issue-77-n1-007-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-007-a12,False,7,issue-77-n1-007-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-007-a12,False,10,issue-77-n1-007-a10,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-007-a12,False,7,issue-77-n1-007-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-007-a12,False,7,issue-77-n1-007-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-007-a12,False,8,issue-77-n1-007-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-007-a12,False,8,issue-77-n1-007-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-007-a12,False,8,issue-77-n1-007-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-008-a05,False,12,issue-77-n1-008-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-008-a05,False,12,issue-77-n1-008-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-008-a05,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-008-a05,False,9,issue-77-n1-008-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-008-a05,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-008-a05,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-008-a05,False,9,issue-77-n1-008-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-008-a05,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-008-a05,False,7,issue-77-n1-008-a07,False,
selection,no-model-ordinal-prior,20260908,issue-77-n1-008-a05,False,8,issue-77-n1-008-a08,False,
selection,no-model-ordinal-prior,20260909,issue-77-n1-008-a05,False,8,issue-77-n1-008-a08,False,
selection,no-model-ordinal-prior,20260910,issue-77-n1-008-a05,False,8,issue-77-n1-008-a08,False,
selection,hybrid-fixed-h1,20260908,issue-77-n1-008-a12,False,12,issue-77-n1-008-a12,False,
selection,hybrid-fixed-h1,20260909,issue-77-n1-008-a12,False,12,issue-77-n1-008-a12,False,
selection,hybrid-fixed-h1,20260910,issue-77-n1-008-a12,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h1,20260908,issue-77-n1-008-a12,False,9,issue-77-n1-008-a09,False,
selection,continuous-fixed-h1,20260909,issue-77-n1-008-a12,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h1,20260910,issue-77-n1-008-a12,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h5,20260908,issue-77-n1-008-a12,False,9,issue-77-n1-008-a09,False,
selection,continuous-fixed-h5,20260909,issue-77-n1-008-a12,False,7,issue-77-n1-008-a07,False,
selection,continuous-fixed-h5,20260910,issue-77-n1-008-a12,False,7,issue-77-n1-008-a07,False,
