[native-refit] retain completed predictor-hybrid-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930001; no new optimizer work or allowance
[native-refit] retain completed predictor-hybrid-760930002; no new optimizer work or allowance
[native-refit] retain completed predictor-pure-760930002; no new optimizer work or allowance
[native-refit] predictor-hybrid-760930003 updates=10144/12000 applied=10062 skipped=82 loss=0.036307141184806824 budget=2246.3/14400s ETA=819.3s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10156/12000 applied=10074 skipped=82 loss=0.14823779463768005 budget=2251.7/14400s ETA=814.2s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10168/12000 applied=10086 skipped=82 loss=0.8700202107429504 budget=2257.2/14400s ETA=809.1s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10180/12000 applied=10098 skipped=82 loss=0.03662542626261711 budget=2262.5/14400s ETA=803.9s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10192/12000 applied=10110 skipped=82 loss=0.14357852935791016 budget=2267.7/14400s ETA=798.4s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10204/12000 applied=10122 skipped=82 loss=0.48851269483566284 budget=2273.1/14400s ETA=793.3s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10216/12000 applied=10134 skipped=82 loss=0.03930414468050003 budget=2278.3/14400s ETA=787.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10228/12000 applied=10146 skipped=82 loss=0.143950954079628 budget=2283.7/14400s ETA=782.6s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10240/12000 applied=10158 skipped=82 loss=0.25069984793663025 budget=2289.0/14400s ETA=777.3s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10252/12000 applied=10170 skipped=82 loss=0.04129757732152939 budget=2294.1/14400s ETA=771.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10264/12000 applied=10182 skipped=82 loss=0.1480863392353058 budget=2299.5/14400s ETA=766.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10276/12000 applied=10194 skipped=82 loss=0.5824073553085327 budget=2305.0/14400s ETA=761.7s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10288/12000 applied=10206 skipped=82 loss=0.044801659882068634 budget=2310.4/14400s ETA=756.4s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10300/12000 applied=10218 skipped=82 loss=0.15409807860851288 budget=2315.9/14400s ETA=751.4s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10312/12000 applied=10229 skipped=83 loss=0.4467363655567169 budget=2321.0/14400s ETA=745.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10324/12000 applied=10241 skipped=83 loss=0.028825581073760986 budget=2326.1/14400s ETA=740.3s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10336/12000 applied=10253 skipped=83 loss=0.1889950931072235 budget=2331.9/14400s ETA=735.6s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10348/12000 applied=10265 skipped=83 loss=0.5967870354652405 budget=2337.3/14400s ETA=730.5s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10360/12000 applied=10277 skipped=83 loss=0.05060727149248123 budget=2342.4/14400s ETA=725.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10372/12000 applied=10289 skipped=83 loss=0.1592378169298172 budget=2347.8/14400s ETA=719.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10384/12000 applied=10300 skipped=84 loss=0.8171365261077881 budget=2353.0/14400s ETA=714.3s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10396/12000 applied=10312 skipped=84 loss=0.04817716404795647 budget=2358.2/14400s ETA=708.8s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10408/12000 applied=10324 skipped=84 loss=0.15658757090568542 budget=2363.8/14400s ETA=704.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10420/12000 applied=10336 skipped=84 loss=0.5794957876205444 budget=2369.4/14400s ETA=699.0s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10432/12000 applied=10348 skipped=84 loss=0.02985507808625698 budget=2374.7/14400s ETA=693.6s CUDA=438.3MiB
[native-refit] predictor-hybrid-760930003 updates=10444/12000 applied=10360 skipped=84 loss=0.1485883742570877 budget=2380.0/14400s ETA=688.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10456/12000 applied=10372 skipped=84 loss=0.42791441082954407 budget=2385.6/14400s ETA=683.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10468/12000 applied=10384 skipped=84 loss=0.05629371106624603 budget=2390.7/14400s ETA=677.8s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10480/12000 applied=10396 skipped=84 loss=0.15572552382946014 budget=2396.1/14400s ETA=672.6s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10492/12000 applied=10408 skipped=84 loss=0.5768399834632874 budget=2401.5/14400s ETA=667.4s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10504/12000 applied=10420 skipped=84 loss=0.04021657630801201 budget=2406.9/14400s ETA=662.1s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10516/12000 applied=10432 skipped=84 loss=0.17300203442573547 budget=2412.4/14400s ETA=657.0s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10528/12000 applied=10444 skipped=84 loss=0.5939321517944336 budget=2417.8/14400s ETA=651.8s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10540/12000 applied=10456 skipped=84 loss=0.03466549515724182 budget=2422.9/14400s ETA=646.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10552/12000 applied=10468 skipped=84 loss=0.16608022153377533 budget=2428.4/14400s ETA=641.2s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10564/12000 applied=10479 skipped=85 loss=0.7549694180488586 budget=2433.8/14400s ETA=636.0s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10576/12000 applied=10491 skipped=85 loss=0.03174028545618057 budget=2439.2/14400s ETA=630.7s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10588/12000 applied=10503 skipped=85 loss=0.16263484954833984 budget=2444.9/14400s ETA=625.7s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10600/12000 applied=10515 skipped=85 loss=0.46788227558135986 budget=2450.3/14400s ETA=620.5s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10612/12000 applied=10527 skipped=85 loss=0.029223276302218437 budget=2455.5/14400s ETA=615.1s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10624/12000 applied=10539 skipped=85 loss=0.13889241218566895 budget=2461.2/14400s ETA=610.1s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10639/12000 applied=10553 skipped=86 loss=0.05127660930156708 budget=2466.5/14400s ETA=602.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10651/12000 applied=10565 skipped=86 loss=0.14573092758655548 budget=2472.1/14400s ETA=597.2s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10663/12000 applied=10577 skipped=86 loss=0.2206026017665863 budget=2477.3/14400s ETA=591.8s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10675/12000 applied=10589 skipped=86 loss=0.0270535871386528 budget=2482.5/14400s ETA=586.4s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10687/12000 applied=10601 skipped=86 loss=0.1411745548248291 budget=2488.0/14400s ETA=581.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10699/12000 applied=10613 skipped=86 loss=0.551540732383728 budget=2493.5/14400s ETA=576.1s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10711/12000 applied=10625 skipped=86 loss=0.04416332393884659 budget=2499.1/14400s ETA=571.0s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10723/12000 applied=10637 skipped=86 loss=0.15494172275066376 budget=2504.5/14400s ETA=565.7s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10735/12000 applied=10649 skipped=86 loss=0.5220881700515747 budget=2510.1/14400s ETA=560.6s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10747/12000 applied=10661 skipped=86 loss=0.030850600451231003 budget=2515.4/14400s ETA=555.3s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10759/12000 applied=10673 skipped=86 loss=0.14573881030082703 budget=2520.8/14400s ETA=550.1s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10771/12000 applied=10685 skipped=86 loss=0.42662087082862854 budget=2526.0/14400s ETA=544.7s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10783/12000 applied=10697 skipped=86 loss=0.04359050840139389 budget=2531.4/14400s ETA=539.4s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10795/12000 applied=10709 skipped=86 loss=0.14094874262809753 budget=2536.9/14400s ETA=534.2s CUDA=439.7MiB
[native-refit] predictor-hybrid-760930003 updates=10810/12000 applied=10723 skipped=87 loss=0.037255462259054184 budget=2542.5/14400s ETA=526.8s CUDA=439.7MiB
